Označení;Hodnota;Pouzdro;GES kód / TME symbol;Cena [Kč]
BT1;CR2032;DS1092-04-B6P;;26,6
BZ1;3V3;Buzzer 12x9.5RM7.6;;22
C1;10n;1206;C1206C103JARACTU;3,2
C2;10n;1206;C1206C103JARACTU;3,2
C3;100n;1206;GES05400125;1
C4;100u / 16V;SMD 6.3x5.4;GES05413805;3
C5;470n;1206;GES13004463;1
C6;1u / 25V;1206;GES05414093;1,5
C7;100n;1206;GES05400125;1
C8;22u / 35V;Radial P2.00mm;GES05414160;0,6
C9;100n;1206;GES05400125;1
C10;22p;1206;VJ1206A220JXACW1BC;3,3
C11;22p;1206;VJ1206A220JXACW1BC;3,3
C12;100u / 16V;SMD 6.3x5.4;GES05413805;3
C13;100n;1206;GES05400125;1
C14;3u3 / 50V;Radial P5.00mm;;0,8
C15;1u / 50V;Radial P2.00mm;GES05413041;0,6
C16;220u / 35V;Radial P3.50mm;ED1V221MNN0816;3,6
C17;100n;1206;GES05400125;1
D1;1N4148W;SOD-123;;1,2
D2;1N4148W;SOD-123;;1,2
D3;1N4007;SMA;;1,2
D4;1N4007;SMA;;1,2
D5;1N4148W;SOD-123;;1,2
D6;LED;KK-254 1x02 Vertical;;
D7;1N4148W;SOD-123;;1,2
D8;1N4148W;SOD-123;;1,2
D9;1N4007;SMA;;1,2
J1;PC-GK2.1;BarrelJack Horizontal;PC-GK2.1;10,4
J2;Conn_01x04;KK-254 1x04 Vertical;;
J3;Conn_01x02;KK-254 1x02 Vertical;;
J4;AVR-ISP-6;P2.54mm 02x03;;
J5;Conn_01x04;KK-254 1x04 Vertical;;
J6;Conn_01x03;KK-254 1x03 Vertical;;
J7;Conn_01x03;KK-254 1x03 Vertical;;
JP1;;;;
JP2;;;;
JP3;0 ohm;1206;;0,5
JP4;0 ohm;1206;;0,5
JP5;0 ohm;1206;;0,5
JP6;0 ohm;1206;;0,5
JP7;0 ohm;1206;;0,5
L1;220u;Radial P5.00mm;COIL0912-0.22;13
L2;100u;Radial P5.00mm;COIL0912-0.1;13
LS1;8 ohm;KK-254 1x02 Vertical;GES7000132;
Q1;BC857;SOT-23;;0,5
Q2;BC857B;SOT-23;;0,5
Q3;BC847;SOT-23;;0,5
Q4;IRL6342PbF;SOIC-8;IRL6342TRPBF;0
Q5;IRL6342PbF;SOIC-8;IRL6342TRPBF;12
Q6;BC847;SOT-23;;0,5
Q7;BC847;SOT-23;;0,5
Q8;BCP56;SOT-223;BCP56-16TX;3,2
Q9;BC847;SOT-23;;0,5
Q10;BCP56;SOT-223;BCP56-16TX;3,2
Q11;BCP53;SOT-223;BCP53-16TX;3,2
Q12;BC847;SOT-23;;0,5
R1;10k;1206;;0,5
R2;10k;1206;;0,5
R3;3k3;1206;;0,5
R4;3k3;1206;;0,5
R5;3k3;1206;;0,5
R6;10k;1206;;0,5
R7;10k;1206;;0,5
R8;10k;1206;;0,5
R9;10k;1206;;0,5
R10;10k;1206;;0,5
R11;100k;1206;;0,5
R12;100k;1206;;0,5
R13;10k;1206;;0,5
R14;330;1206;;0,5
R15;220;1206;;0,5
R16;220;1206;;0,5
R17;1k;1206;;0,5
R18;10k;1206;;0,5
R19;22k;1206;;0,5
R20;10k;1206;;0,5
R21;6R8;1206;SMD1206-6R8-1%;0,82
R22;1k;1206;;0,5
R23;330;1206;;0,5
R24;10k;1206;;0,5
R25;10k;1206;;0,5
R26;10k;1206;;0,5
R27;10k;1206;;0,5
SW1;SW_Push;KK-254 1x02 Vertical;;25
SW2;SW_Push;KK-254 1x02 Vertical;;25
SW3;Encoder_Switch;KK-254 1x05 Vertical;PEC11R-4220K-S0024;53
SW4;SW_Push;THT 6mm H4.3mm;SKHHAMA010;8
U1;DS3231M;SOIC-16W;;60
U2;ATmega328P-PU;DIP-28;;98
Y1;16MHz;HC-49/U;16M-49SMD-SR;21
konektory;NS25-;;;50
